Rank,ASIN,Image URL,Title,Best Seller Ranks,Currency,Price,Review Rating,Review Count,In-Stock,Purchase Limits,Feature Points,Brand,Seller,Store,Offers,Product Dimensions,Product Weight,Shipping Weight,Published At,FBA,Prime,Sponsored
36,B08MFDCKCY,https://m.media-amazon.com/images/I/61S0GjjMOmL._AC_UL320_.jpg,"BRILONER Leuchten - Deckenleuchte, Spotleuchte 4-flammig, Strahler Dreh- und schwenkbar, Retro/Vintage, 4 x E14, 40 Watt, Metall, Mint-Weiß, 790x190mm (LxH)","Beleuchtung: 2464
Deckenleuchten: 195",EUR,66.97,4.7,2333.0,,,"Vielseitig: Die moderne, für LED-Leuchtmittel geeignete Deckenlampe ist aus Metall gefertigt und die ideale Wohnzimmer- und Schlafzimmerlampe, weil sie sich durch die Dreh- und Schwenkfunktion in jede gewünschte Position bringen lässt.

Praktikabel: Es können Leuchtmittel mit maximal 40 Watt (E14-Fassung) eingesetzt werden – selbstverständlich funktionieren auch LED-Lampen mit einer deutlich geringeren Wattzahl (die Leuchtmittel sind nicht im Lieferumfang enthalten)

Highlight: Egal ob diese Wohnraumleuchte als Deckenleuchte oder als Leselampe angebracht wird – ihre zeitlose Beleuchtung im eleganten Retro-Design bringt jeden Raum zum Strahlen.

Runde Sache: Die kreisförmigen Lampenschirme sind von innen weiß, von außen mintfarben, haben einen Durchmesser von 10.5 cm und können in alle Richtungen gekippt und gedreht werden.

Produktabmessungen: 790x190mm (LxH), Ø105mm (Kopf)",BRILONER,,Besuche den BRILONER,,79 x 10 x 19 cm,1.18 kilogramm,,2020-11-02,,1.0,False
37,B09PNF56QV,https://m.media-amazon.com/images/I/61GmCIX0yGL._AC_UL320_.jpg,"Lospitch 2-flammig Deckenleuchte Strahler, GU10 4W Deckenstrahler, Drehbare Deckenspot, Wandstrahler Schwarz, 3000K Warmweiß Spotleuchte","Beleuchtung: 6730
Deckenspots: 158",EUR,20.99,4.3,15.0,,,"🔥【Vielseitigkeit】Das einfache Design dieses Strahlers eignet sich sehr gut als Akzentlampe oder Wohnzimmerlampe. Dank seines praktischen Schwenk- und Drehmechanismus kann er als Wandleuchte, Deckenlampe und andere Beleuchtungsanwendungen verwendet werden.

🔥【Einfach zu montieren】Das Leuchtmittel ist ab Werk bereit und kann problemlos angeschlossen werden. Mit der GU10-Fassung können Sie die Lampe schnell und einfach austauschen.

🔥【Starke Flexibilität】Der Lampenkopf des Deckenstrahlers kann um 360 Grad gedreht und 90 Grad gekippt werden. Drehen Sie den Lampenkopf einfach in die gewünschte Richtung, um ihn an den gewünschten Winkel und die gewünschte Atmosphäre anzupassen. Sie können Ihren eigenen Beleuchtungsfokus einstellen und für eine individuelle Beleuchtung gibt es keine Begrenzung.

🔥【Austauschbare Leuchtmittel】Der Deckenstrahler verfügt über eine GU10-Fassung für LEDs mit maximal 4 Watt, die Lampe ist austauschbar und jeder Lampenschirm enthält eine Lampe (LED GU10 4W 3000K warmweiß), die dem Raum Eleganz und Ruhe verleiht.

🔥【Weit verbreitet】Das einfache Design der Spotlampe ist perfekt für jedes Wohnzimmer, egal ob es sich um ein Wohnzimmer, ein Esszimmer, einen Flur, ein Badezimmer, ein Schlafzimmer, ein Kinderzimmer oder einen Keller handelt. Wenn Sie Fragen haben, kontaktieren Sie uns jederzeit, wir sind gerne für Sie da!",Lospitch,OB-EU,,,26l x 6b x 3h cm,900 g,,2022-01-04,0.0,0.0,False
39,B08F7V9729,https://m.media-amazon.com/images/I/61T+OrmrdPL._AC_UL320_.jpg,"BRILONER Leuchten - Spotleuchte, Deckenspot retro, Deckenleuchte vintage, Spots dreh- und schwenkbar, 3x GU10, max. 35 Watt, Holz-Metall, Schwarz-Weiß, 480x100x135mm (LxBxH)","Beleuchtung: 10684
Deckenspots: 270",EUR,57.04,4.4,173.0,,,"Diese schwarze Spotlampe in ihrem schlichten retro/vintage Design fügt sich optimal in alle Räumlichkeiten ein und wird durch die schwarz-weiße, edle Optik in Kombination mit der Holzbasis schnell zu einem Blickfang

Durch die dreh- und schwenkbaren Spotköpfe lässt sich das Licht individuell steuern - der Deckenspot ist zudem vielseitig einsetzbar, z.B. als Wohnzimmerleuchte, Schlafzimmerleuchte oder Flurleuchte

Die maximale Wattage für die Lampe beträgt max. 35 Watt (3x GU10-Fassung) - die Leuchtmittel sind nicht im Lieferumfang enthalten

Die Deckenlampe besitzt die Schutzart IP20 und ist ausschließlich für den Einsatz im Innenbereich vorgesehen

Produktabmessungen: 480x100x135mm (LxBxH)",BRILONER,,Besuche den BRILONER,,48 x 10 x 13.5 cm,1.42 kg,,2020-08-04,,1.0,False
40,B07YVN7G4N,https://m.media-amazon.com/images/I/71HDYxaiLBL._AC_UL320_.jpg,"Philips Hue White & Color Ambiance Fugato Spot 4 flg. weiß 4 x 350lm, dimmbar, 16 Mio. Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","Beleuchtung: 4226
Deckenspots: 93",EUR,199.99,4.4,84.0,,,"Moderne Spotbeleuchtung: Die Fugato passt in jedes Interieur und setzt direkte und indirekte Lichtelemente - Steuerbar per Bridge und Bluetoot

Personalisierte Beleuchtung: Wählen Sie aus Millionen von Farben und Weißtönen, um die Stimmung in Ihrem Zuhause individuell anpassen zu können

Dekorative Spot-Beleuchtung: Für ein gemütliches Ambiente im Wohnbereich ist die Fugato Spotleuchte ausgestattet mit einem designvollen Leuchtring

Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können. Dieses Produkt enthaelt eine Lichtquelle der Energieeffizienzklasse G

Für das volle Smart Home Erlebnis zuhause: Entdecken Sie viele weitere Funktionen mit der Hue Bridge und koppeln sie bis zu 50 Lampen und Leuchten",Philips Hue,,Besuche den Philips Hue,,15.3 x 8 x 42.5 cm,1.65 kg,,2019-08-17,,1.0,False
41,B07ZR5TNND,https://m.media-amazon.com/images/I/71QHaN7tqVL._AC_UL320_.jpg,Budbuddy 6W+5W LED Deckenstrahler Schwarz Deckenspots Spotleuchte Aufbauspot Spotbalken GU10 3000K [enthalten 5W Glühbirne],"Beleuchtung: 24219
Deckenspots: 599",EUR,41.99,4.2,452.0,,,"✔ LED Strahler mit GU10-Sockel, Leuchtmittel kann ersetzt werden, 5W LED Leuchtmittel enthalten (warmweiß) + 6W SMD, 30° neigbar.Material: Aluminium.

✔ DOPPELTE LEUCHTENDE LED-Scheinwerfer, 1 Schaltersteuerung, eine ist GU10-Sockel, die Lampe kann ersetzt werden. Eine ist SMD, die eine feste Lichtquelle ist. Leistungsstarke warmweiße LED-Leuchten schaffen eine elegante Atmosphäre.

✔ 6W + 5W LED Strahler GU10. Abmessungen 135 x 90 mm. Material: Aluminium. helle Farben sind warmweiß. Dieser Strahler kann mit allen GU10 Leuchtmittel verwendet werden.

✔ MODERN KLASSISCHER LED SOCKENLEUCHTE - Material aus Aluminium, sicher und langlebig, schönes Design und gute Qualität, passt perfekt in jeden Wohnraum.

✔ After-Sales-Service von LED-Deckenleuchten: Garantie für 2 Jahre (Leuchtmittel nicht im Lieferumfang enthalten). CE- und RoHS-zertifiziert. Wenn Sie Qualitätsprobleme haben, kontaktieren Sie uns direkt.",Budbuddy,mengya -EU,Besuche den Budbuddy,,9 x 9 x 13.5 cm,600 g,,2019-11-16,0.0,1.0,False
42,B0BGBP5M4P,https://m.media-amazon.com/images/I/61DYrY-R+zL._AC_UL320_.jpg,"Kimjo Led Deckenstrahler 3 Flammig Rund 350°, Strahler Deckenleuchte E14, Deckenlampe 3 Flammig Weiß, Deckenlampe Deckenspot Spotleuchte Wand fur Küche Schlafzimmer Ohne Leuchtmittel Max.40W","Beleuchtung: 2845
Deckenspots: 61",EUR,43.99,4.1,35.0,,,"【Flexibel und einstellbar】Deckenleuchte 3 flammig rund die um 350°gedreht und um 90°vertikal ausgerichtet werden können. Deckenstrahler weiß kann problemlos die Anforderungen an die gerichtete Beleuchtung jedes Raums erfüllen

【Einzigartiges Design, Hochwertiges Material】Deckenleuchte edelstahl mit Liniendesign im modern ist aus hochwertigem Eisen gefertigt und durch High-End-Prozesse wie Polieren verarbeitet. Lampen für küche ist zäh und nicht leicht zu schälen und zu verblassen

【E14 Lampenfassung】Weiß deckenlampe schlafzimmer für Lampensockel E14. Es können verschiedene Lampentypen verwendet werden. Kompatibel mit normalen LED lampen oder Halogenlampen. Maximale Leistung überschreitet 40 W nicht. Hinweis: Produkt enthält keine Glühbirnen

【Einfach zu installieren】Deckenlampe spots led 3 flammig hat zwei Installationsmethoden, kann als Wandleuchte an der Wand oder als Deckenleuchte an der Decke installiert werden. Direkt an Ihren Heimstromkreis angeschlossen ohne separaten Schalter

【Kundendienst】Deckenleuchte weiß rund kann als lampe küche, lampe schlafzimmer, lampe wohnzimmern. Wenn es Probleme mit Kimjo deckenstrahler led, wenden Sie sich bitte zuerst an uns",Kimjo,KLighting,Besuche den Kimjo,,22 x 22 x 19 cm,970 g,,2022-09-24,0.0,1.0,False
43,B088S17X1P,https://m.media-amazon.com/images/I/51Chw-bhJzL._AC_UL320_.jpg,"Philips Hue White & Col. Amb. LED 3-er Spotleuchte Centris, schwarz, dimmbar, 16 Mio. Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","Beleuchtung: 8050
Wandspots: 27",EUR,345.0,4.6,89.0,,,"Einfache Einrichtung per Bluetooth: Hue Spotleuchte anbringen, Hue Bluetooth App downloaden und schon können Sie Ihr Licht in einem Raum steuern oder Lichtszenen einstellen.

Für die Bedienung im gesamten Zuhause: Erweitern Sie Ihr System mit der Hue Bridge (separat erhältlich) und erleben Sie das volle Smart-Home-Erlebnis mit zahlreichen Funktionen.

Personalisierte Beleuchtung: Wählen Sie aus 16 Mio. Farben oder verschiedensten Weißtönen, vom kühlen bis warmen Licht, um so einem Raum die gewünschte Farbe zu verleihen.

Kreieren Sie mit der dekorativen Spot-Beleuchtung Ihr individuelles Licht für jeden Anlass: Ob Dinnerparty oder entspannten Tagesausklang, mit Philips Hue schaffen Sie die perfekte Raumatmosphäre.

Die intelligente Bluetooth-Beleuchtung von Philips Hue ist kompatibel mit dem Amazon Echo Dot (3.Generation), Echo Plus und Echo Show (2.Generation).

Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können. Dieses Produkt enthaelt eine Lichtquelle der Energieeffizienzklasse G",Philips Hue,"Verkauf durch Amazon Warehouse und Versand durch Amazon. Für weitere Informationen, Impressum, AGB und Widerrufsrecht klicken Sie bitte auf den Verkäufernamen.",Besuche den Philips Hue,,8.5 x 40.8 x 12.7 cm,2 g,,2020-06-16,1.0,1.0,False
44,B0B2MX1YJ8,https://m.media-amazon.com/images/I/51J01E5R30L._AC_UL320_.jpg,"Sweet Led 4er Aufbauleuchte aus Aluminium, Aufbaustrahler, Ø80x84mm inkl.GU10 Fassung 230V, Deckenleuchte Aufputz Alu-gebüstet schwenkbar, Spotleuchte Rund, Deckenlampe Aufbau Downlight (Weiß)","Beleuchtung: 20179
Deckenspots: 507",EUR,49.99,5.0,1.0,17.0,0.0,"Unsere Deckenspots aus Aluminium in der Gehäusefarbe Weiß-Matt werden nach höchsten Qualitätsstandards produziert und bieten eine stilvolle Optik.

Der Abdeckungsdurchmesser beträgt Ø 80mm, mit einer Höhe von 84mm. Ein Leuchtmittel lässt sich einfach austauschen. Der Deckenstrahler ist schwenkbar.

Aufbauspot geeignet für LED oder Halogen mit 50 mm Durchmesser, kann direkt an das 230V Netz angeschlossen werden - kein Trafo benötigt.

Idealer Anwendungsbereich: Wohnzimmer, Schlafzimmer, Küche oder Flur. Die Aufputzstrahler verleihen ihrer Räumlichkeit eine angenehme Atmosphäre.

Lieferumfang: 4 Stück Aufbaurahmen, inkl. GU10 Fassung und Anschlussklemme. Schrauben und Dübel für die Montage sind enthalten. Passende Leuchten finden Sie hier: B00ZTQDZIY",Sweet Led,Sweet -led,Besuche den Sweet Led,,,,,2022-05-29,0.0,1.0,False
45,B0BBF3LRJS,https://m.media-amazon.com/images/I/61q1C0gZAJL._AC_UL320_.jpg,"da LIGHT Led Unterbauleuchten 3er Set, Schrankleuchte mit Schalter 4,8W 240LM, Küchenlampe 4000K Neutralweiss Licht, Spotleuchte Wandleuchte für Schrank Küchen Vitrinen","Beleuchtung: 28283
Wandleuchten: 1058",EUR,16.99,3.9,19.0,,,"【Hohe Helligkeit】Jede LED-Schrankleuchte mit 4000K ist hell und weich mit warmweißem Licht von 7 superhellen SMD2835-Chips, die mit bis zu 240 Lumen starkem warmweißem Licht leuchten.

【Energiesparend】Die Leistung jeder Unterbauleuchte beträgt nur 1,2 W und die gesamte Lampe 4,8 W, was einen geringen Stromverbrauch bedeutet. Küchenleuchte beinhaltet: 3*LED-Schrankleuchten (jeweils mit 1,8m Kabel), 1*1,5m Netzadapter mit Schalter und Anschlussdose, 5*doppelseitiger Kleber, 8*Schrauben.

【Einfach zu installieren】 Inklusive starkem Klebeband. Sie brauchen keine Löcher zu bohren, um Ihre Möbel zu schützen, nur ein Kabel, um alle Unterschrankleuchten anzuschließen, weniger Kabel und weniger Unordnung. Weit verbreitet in Waschbecken, Schränken, Vorratskammern, Regalen, Schreibtischen, Schaukästen, Küchen usw.

【Anwendungsbereich】Size 60*10mm LED Schrank Licht ist ideal für Garderobe, Schrank, Schrank, Werkbank, Bücherregal, Regal, Schublade, auch Ihr Flur, Treppenhaus, etc. Die Ausgangsspannung beträgt DC12V, was eine sichere Niederspannung ist.

【Qualitativer Service】Wir legen Wert auf die Erfahrung unserer Kunden und bieten eine 2-Jahres-Garantie auf die LED Deckenleuchten. Wenn Sie irgendwelche Probleme haben, können Sie uns jederzeit kontaktieren und wir werden es kostenlos ersetzen oder Ihnen eine volle Rückerstattung geben, bitte kaufen Sie mit Seelenfrieden.

【Abnehmbare Lichtquelle】Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können.",da LIGHT,DA LIGHT,Besuche den da LIGHT,,23.9 x 11.1 x 4.8 cm,300 g,,2022-08-22,1.0,0.0,False
46,B09K3XVRQN,https://m.media-amazon.com/images/I/41-EfI31X4L._AC_UL320_.jpg,IMPTS LED Deckenleuchte Deckenstrahler 2-flammig Wohnzimmerlampe Deckenlampe 2er Deckenspot Spotleuchte 3W GU10 (2er Spot)…,"Beleuchtung: 9906
Deckenspots: 242",EUR,19.99,4.8,17.0,6.0,0.0,"Diese LED Deckenlampe fügt sich mit ihrem schlichten Design in jeden Wohnraum optimal ein.

Durch die beweglichen Spots (360° drehbar und 90° schwenkbar) können Sie Ihre Zimmer optimal ausleuchten.

Unsere Deckenlampe kommt mit 280 Lumen pro Spot bzw. 3 Watt pro Spot zu Ihnen und sorgt somit für eine gleichmäßige. Lichtverteilung.Die Lichtquelle leuchtet mit 3.000 Kelvin warmweiß.

Eine Lebensdauer von 30.000 Stunden der mitgelieferten Leuchtmittel (GU10), mit je 3 Watt, verspricht lange Freude an diesem Produkt.

1 x LED Deckenleuchte 2-flammig, 2 x 3 Watt GU10 Leuchtmittel, Montagematerial",IMPTS,Easy-E-SHOP,Besuche den IMPTS,,29 x 12.2 x 9.4 cm,520 g,,2021-10-22,0.0,0.0,False
47,B09CM7PFTG,https://m.media-amazon.com/images/I/510nKftc2hL._AC_UL320_.jpg,Efelandhome Deckenlampe Led Deckenleuchte Schwenkbar inkl. 4 x GU10 Fassungen Deckenstrahler Spotbalken Wohnzimmerlampe Drehbar 230V Spotleuchte für Küche Wohnzimmer Schlafzimmer (ohne Lichtquelle),"Beleuchtung: 11115
Deckenleuchten: 783",EUR,26.98,4.4,23.0,,,"[Großer Beleuchtungswinkel] - Die Lampenköpfe lässt sich um 350 Grad schwenken und um 90 Grad auf und ab schwingen. Die beiden Arme lassen sich auch einfach individuell einstellen, damit leuchtet Deckenlampe alle Richtungen aus, in denen Sie leuchten möchten, um Ihren unterschiedlichen Anforderungen gerecht zu werden.

[Zuverlässige Qualität] - Auswahl aus hochwertigem Material Metall in matt-nickel, Korrosion rust, Spannung- 100V-230V. max Leistung: 60W; Fassung: GU10; Anzahl der Lichtquellen: 4 (Leuchtmittel nicht enthalten). Vorschlag: Installation von einem zugelassenen Elektriker.

[Tolles Design] - Mit eleganter und modemem Aussehen, LED Deckenstrahler kann perfekt mit dem schlichten Dekorationsstil abgestimmt werde.

[Breite Anwendungen] - LED Strahler eckenspot ist geeignet fur die Verwendung in Wohnzimmer, Schlafzimmer, Kuche, Laden, Restaurant, Cafe usw. Liefert eine wunderschone und gemitliche Atmosphare.

[ Perfekter Kundendienst] - Wir verfolgen das Prinzip, dass die Kundenerfahrung immer an der erster Stelle stellen. Wenn Sie Vor oder nach dem Kauf irgendeine Frage haben, zögern Sie bitte nicht uns zu kontaktieren. Wir werden unser Bestes versuchen, um Ihre Bedürfnisse zu erfüllen.",Efelandhome,Sylvao,,,32 x 11 x 11 cm,610 g,,2021-08-16,0.0,0.0,False
48,B0BJJM518L,https://m.media-amazon.com/images/I/61A87mktA4L._AC_UL320_.jpg,"URing Aufbauspot Weiß Schwenkbar Flach, Aufbaustrahler Deckenspot Aufputz für LED Module 230V, Aufputzleuchte Rund Decken Deckenleuchte Spot Ø 80x50 mm, Aluminium Matt, Glühbirne nicht inklusive","Beleuchtung: 10078
Deckenspots: 253",EUR,14.99,3.5,13.0,,,"【Hochwertiges Aufbauspot】: Das Aufbaustrahler besteht aus massivem Aluminium, um eine matte Oberfläche zu schaffen, die nach längerem Gebrauch nicht rostet, hohe Temperaturbeständigkeit, lange Lebensdauer, im Einklang mit modernem Stil, drei Farben sind verfügbar, geeignet für alle Dekorationsstile.

【Schwenkbar + optionale LED Modul】: Das Deckenspot Downlight verfügt über eine um ± 30 ° drehbare Funktion, und Sie können den Winkel frei wählen. Unser Aufputzleuchte selbst hat kein Leuchtmittel, Sie können ein beliebiges LED Modul wählen, und das Leuchtmittel mit einem Durchmesser von Φ50mm und einer Höhe von max. 25mm ist darin verbaut.

【Flaches Design, breite Anwendung】: Das runde spots deckenleuchte hat ein flaches Design, die Aufputz ist ein perfekter Ersatz für Einbauleuchten und Einbaustrahler, die dort installiert werden, wo wenig Platz ist. Geeignet für jede Szene, wie Wohnzimmer, Schlafzimmer, Küche, Flur, Arbeitszimmer, Büro, Ankleidezimmer, Kleiderschrank, Kabinett, Galerie, Hotel und so weiter.

【230V Surface Mounted Downlight】: Die Größe des Aufbauspot Produkts beträgt Φ80 x 50 mm, und die eingebaute Federschnalle dient zur Befestigung der LED-Lichtquelle. 230 V, kein Transformator oder Treiber erforderlich, direkt installiert. Hochwertiges und preisgünstiges Downlight, Qualitätssicherung.

【Einfache Installation, stabiler Kundendienst】: Unsere Deckenlampe sind in mattem Weiß, Schwarz und Grau erhältlich, 1 Set, 4er Set, einschließlich Schrauben und Dehnschrauben, Installationsanleitung (Glühbirnen nicht enthalten). Einfach zu installieren, nur wenige Schritte zur Installation. Wir bieten After-Sales-Service. Bei Fragen wenden Sie sich bitte an den Online-Kundendienst.",URing,DUOMII,Besuche den URing,,8 x 8 x 5 cm,160 g,,2022-10-18,0.0,0.0,False
49,B0BN1324L1,https://m.media-amazon.com/images/I/61d+7Io-sgL._AC_UL320_.jpg,Eofiti Deckenstrahler 4 Flammig E14 Deckenleuchte Strahler Schwarz Schwenkbar Deckenlampe Spot aus Metall Retro Spotleuchten Spotbalken für Schlafzimmer Küche Flur max. 28 Watt Ohne Leuchtmittel,"Beleuchtung: 30248
Deckenspots: 743",EUR,49.99,4.7,32.0,,,"【Vintage Design】Der Eofiti Deckenspots zeichnet sich durch exquisite Eisenverarbeitung aus, die rostfrei und langlebig ist. Mit ihrem mattschwarzen Äußeren und dem Netzschirm ist sie sowohl eine Leuchte als auch ein Kunstwerk, das einen charmanten Lichteffekt erzeugen kann, um Ihrem Raum einen Hauch von Vintage zu verleihen.

【Flexible Beleuchtung】Deckenstrahler 4 Flammig, 90° nach oben und unten verstellbar, Schirm und beide Arme um 350° drehbar, so dass Sie die Richtung der Beleuchtung leicht anpassen und mehr Raum ausleuchten können.

【Glühbirnen sind austauschbar】Der Lampe Strahler verwendet die E14-Fassungen und wird nicht mit den Leuchtmitteln geliefert, so dass Sie die E14-Leuchtmittel mit unterschiedlichen Farbtemperaturen oder Funktionen nach Bedarf frei kombinieren können. Außerdem entfällt der Aufwand, die Leuchte aufgrund einer Beschädigung der Leuchtmittel austauschen zu müssen.

【Einfache Installation】Mit den Maßen 68*17*10 cm/26.8* 6.7*3.9 in nimmt der Deckenlampe Spot weniger Platz ein und ist leichter. Er wird mit Zubehör und einer Installationsanleitung geliefert, so dass Sie ihn leicht als Deckenleuchte oder als Wandleuchte installieren können.

【Breites Spektrum von Anwendungen】Unsere Deckenlampe Strahler eignen sich für den Einsatz in Wohnzimmern, Schlafzimmern, Fluren, Küchen und mehr. Sollten Sie auf ein Problem stoßen, wenden Sie sich bitte an das Eofiti-Team, und wir werden Ihnen umgehend helfen.",Eofiti,Eofiti,Besuche den Eofiti,,68 x 10 x 17 cm,960 g,,2022-11-21,0.0,1.0,False
